Order_ID,Order_Date,Customer_ID,Product,Category,Region,Customer_Segment,Sales_Channel,Payment_Method,Quantity,Unit_Price,Discount_Percent,Sales,Cost,Profit
ORD0468,01-01-2023,CUST1203,Printer,Office Supplies,West,Corporate,Retail Store,Cash,4,9775.69,8,35974.54,20124.35,15850.19
ORD0134,03-01-2023,CUST1033,Bookshelf,Furniture,Central,Consumer,Online,Credit Card,4,6610.61,12,23269.35,16158.06,7111.29
ORD0275,04-01-2023,CUST1198,Desk,Furniture,North,Consumer,Online,Net Banking,2,12855.2,0,25710.4,16827.97,8882.43
ORD0061,05-01-2023,CUST1148,Laptop,Electronics,South,Corporate,Online,Net Banking,3,52215.09,0,156645.27,121446.94,35198.33
ORD0406,06-01-2023,CUST1192,Headphones,Electronics,North,Corporate,Online,Credit Card,8,2478.95,10,17848.44,13363.91,4484.53
ORD0161,08-01-2023,CUST1094,Bookshelf,Furniture,West,Small Business,Retail Store,Debit Card,4,6495.39,0,25981.56,17954.55,8027.01
ORD0411,13-01-2023,CUST1063,Backpack,Accessories,West,Corporate,Retail Store,Credit Card,7,1719.92,2,11798.65,6863.27,4935.38
ORD0430,15-01-2023,CUST1190,Pen Set,Office Supplies,South,Consumer,Online,Debit Card,7,257.82,0,1804.74,986.29,818.45
ORD0590,16-01-2023,CUST1154,Headphones,Electronics,North,Corporate,Online,Cash,2,2391.37,8,4400.12,3214.83,1185.29
ORD0210,18-01-2023,CUST1139,Bookshelf,Furniture,East,Consumer,Online,Debit Card,5,7377.01,12,32458.84,20689.98,11768.86
ORD0092,20-01-2023,CUST1240,Headphones,Electronics,East,Corporate,Online,Debit Card,4,2600.79,15,8842.69,6408.36,2434.33
ORD0588,22-01-2023,CUST1094,Printer,Office Supplies,South,Consumer,Retail Store,Debit Card,8,10070.04,8,74115.49,40672.08,33443.41
ORD0384,23-01-2023,CUST1101,Desk,Furniture,South,Consumer,Online,UPI,3,12055.76,2,35443.93,22177.54,13266.39
ORD0442,28-01-2023,CUST1137,Desk,Furniture,East,Consumer,Distributor,Net Banking,8,12223.95,8,89968.27,59141.37,30826.9
ORD0303,03-02-2023,CUST1112,Smartphone,Electronics,West,Corporate,Retail Store,Cash,7,22453.9,15,133600.71,97923.04,35677.67
ORD0270,05-02-2023,CUST1004,Notebook Pack,Office Supplies,West,Consumer,Retail Store,Cash,1,431.88,5,410.29,236.31,173.98
ORD0192,08-02-2023,CUST1129,Headphones,Electronics,North,Consumer,Distributor,Net Banking,2,2674.47,5,5081.49,3938.02,1143.47
ORD0461,10-02-2023,CUST1050,Notebook Pack,Office Supplies,Central,Consumer,Online,Debit Card,2,470.32,15,799.54,496.2,303.34
ORD0448,12-02-2023,CUST1121,Laptop,Electronics,South,Consumer,Online,Debit Card,5,56565.9,15,240405.08,177715.62,62689.46
ORD0475,13-02-2023,CUST1019,Pen Set,Office Supplies,Central,Small Business,Retail Store,Debit Card,4,258.44,8,951.06,551.96,399.1
ORD0193,14-02-2023,CUST1066,Tablet,Electronics,East,Consumer,Online,UPI,2,18197.48,2,35667.06,27374.97,8292.09
